#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Unsecreted_PEF_RQM09034.1                          -          AAA_16               PF13191.8     0.0023   14.0   0.3    0.0077   12.3   0.0   2.1   2   0   0   2   2   2   1 -
Unsecreted_DDI_XP_640914.1  -          AAA_18               PF13238.8    0.00012   18.4   0.9    0.0011   15.2   0.0   2.3   2   1   0   2   2   2   1 -
Unsecreted_TMA_KAF8225790.1 -          AAA_18               PF13238.8     0.0011   15.3   0.1       0.6    6.4   0.0   3.1   2   1   0   2   2   2   2 -
Unsecreted_ECU_NP_586011.1 -          AAA_19               PF13245.8     0.0078   12.1   0.0     0.016   11.1   0.0   1.5   1   0   0   1   1   1   1 -
Unsecreted_DDI_XP_644031.1    -          AAA_21               PF13304.8    1.2e-14   50.5   4.1   1.4e-08   30.5   0.0   4.9   5   0   0   5   5   5   3 -
Unsecreted_PIN_XP_002905942.1 -          AAA_21               PF13304.8    5.1e-08   28.7   0.1   1.6e-05   20.5   0.0   2.2   2   0   0   2   2   2   2 -
Unsecreted_TMA_KAF8225790.1   -          AAA_21               PF13304.8    5.9e-06   21.9   7.2   0.00029   16.4   0.2   4.1   3   1   1   4   4   4   2 -
Unsecreted_RAL_EPZ31047.1                          -          AAA_22               PF13401.8    6.7e-07   25.4   0.0   5.9e-05   19.1   0.0   2.6   2   0   0   2   2   2   1 -
Unsecreted_RIR_XP_025189029.1                      -          AAA_22               PF13401.8    5.8e-06   22.4   0.0   1.4e-05   21.1   0.0   1.6   1   0   0   1   1   1   1 -
Unsecreted_THA_XP_024772805.1                      -          AAA_22               PF13401.8    1.1e-05   21.4   0.0   4.7e-05   19.4   0.0   2.1   2   0   0   2   2   1   1 -
Unsecreted_THA_XP_024779161.1                      -          AAA_22               PF13401.8      3e-05   20.0   0.1   0.00013   18.0   0.0   2.0   1   1   0   1   1   1   1 -
Unsecreted_TMA_KAF8225790.1                        -          AAA_22               PF13401.8    6.7e-05   18.9   0.1     0.048    9.6   0.0   3.1   2   1   0   2   2   2   1 -
Unsecreted_DDI_XP_640914.1                         -          AAA_22               PF13401.8     0.0001   18.3   0.0    0.0015   14.5   0.0   2.5   3   0   0   3   3   3   1 -
Unsecreted_BME_ORX97418.1                          -          AAA_22               PF13401.8    0.00016   17.7   1.4    0.0018   14.3   0.4   2.8   2   2   0   2   2   2   1 -
Unsecreted_RIR_XP_025170318.1                      -          AAA_22               PF13401.8    0.00023   17.2   1.2    0.0036   13.3   0.0   3.2   3   1   0   3   3   3   1 -
Unsecreted_DDI_XP_645911.1                         -          AAA_22               PF13401.8    0.00025   17.0   0.0   0.00061   15.8   0.0   1.6   2   0   0   2   2   2   1 -
Unsecreted_ECU_NP_586011.1                         -          AAA_22               PF13401.8    0.00037   16.5   0.1    0.0022   14.0   0.1   2.4   1   1   0   1   1   1   1 -
Unsecreted_DDI_XP_001134628.1                      -          AAA_22               PF13401.8     0.0012   14.9   2.0     0.055    9.5   0.6   3.3   2   1   0   2   2   2   1 -
Unsecreted_FOL_RSL93468.1                          -          AAA_22               PF13401.8     0.0015   14.5   0.8     0.019   10.9   0.1   2.6   1   1   1   2   2   2   1 -
Unsecreted_LGO_jgi_LeugonAS2_1_2390860_gm4.38203_g -          AAA_22               PF13401.8     0.0021   14.1   0.0    0.0052   12.8   0.0   1.7   1   0   0   1   1   1   1 -
Unsecreted_PEF_RQM09034.1                          -          AAA_22               PF13401.8     0.0038   13.2   0.1     0.017   11.1   0.0   2.1   2   0   0   2   2   2   1 -
Unsecreted_CRE_PIA12786.1                          -          AAA_22               PF13401.8     0.0068   12.4   0.0     0.031   10.3   0.0   2.2   1   0   0   1   1   1   1 -
Unsecreted_TMA_KAF8225790.1 -          AAA_23               PF13476.8    6.9e-07   25.7   0.3   4.3e-05   19.8   0.0   2.5   2   0   0   2   2   2   1 -
Unsecreted_DDI_XP_644031.1  -          AAA_23               PF13476.8        7.8    2.7  21.6     0.034   10.4   1.0   4.5   4   1   1   5   5   5   0 -
Unsecreted_DDI_XP_645911.1    -          AAA_24               PF13479.8     0.0012   14.4   0.0    0.0018   13.7   0.0   1.3   1   0   0   1   1   1   1 -
Unsecreted_BME_ORX97418.1     -          AAA_24               PF13479.8     0.0013   14.2   1.0    0.0054   12.2   0.5   2.2   2   1   0   2   2   2   1 -
Unsecreted_RIR_XP_025189029.1 -          AAA_24               PF13479.8     0.0022   13.5   0.0    0.0077   11.7   0.0   1.9   2   0   0   2   2   2   1 -
Unsecreted_TMA_KAF8225790.1   -          AAA_24               PF13479.8     0.0031   13.0   0.0      0.42    6.0   0.0   2.4   2   0   0   2   2   2   2 -
Unsecreted_TMA_KAF8225790.1   -          AAA_25               PF13481.8    1.6e-05   20.2   0.2     0.043    9.0   0.0   2.9   3   1   0   3   3   3   2 -
Unsecreted_RIR_XP_025189029.1 -          AAA_25               PF13481.8     0.0031   12.7   0.0    0.0058   11.9   0.0   1.3   1   0   0   1   1   1   1 -
Unsecreted_RAL_EPZ31047.1 -          AAA_28               PF13521.8     0.0067   12.4   0.0      0.37    6.7   0.0   2.6   2   0   0   2   2   2   2 -
Unsecreted_TMA_KAF8225790.1   -          AAA_29               PF13555.8    6.9e-07   24.7   0.4    0.0027   13.2   0.0   2.8   3   0   0   3   3   3   2 -
Unsecreted_DDI_XP_644031.1    -          AAA_29               PF13555.8     0.0002   16.8   7.5   0.00048   15.6   0.4   3.3   3   0   0   3   3   3   1 -
Unsecreted_RIR_XP_025170318.1 -          AAA_29               PF13555.8    0.00068   15.1   0.0    0.0018   13.8   0.0   1.6   1   0   0   1   1   1   1 -
Unsecreted_EFE_QPH06515.1     -          AAA_29               PF13555.8      0.012   11.1   5.4      0.12    7.9   0.0   4.1   5   0   0   5   5   5   0 -
Unsecreted_LGO_jgi_LeugonAS2_1_2390860_gm4.38203_g -          AAA_30               PF13604.8     0.0035   12.8   0.0    0.0057   12.1   0.0   1.3   1   0   0   1   1   1   1 -
Unsecreted_DDI_XP_644031.1                         -          AAA_30               PF13604.8     0.0052   12.2   0.1      0.45    5.9   0.0   2.5   2   0   0   2   2   2   2 -
Unsecreted_TMA_KAF8225790.1                        -          AAA_30               PF13604.8     0.0076   11.7   0.1      0.26    6.7   0.0   2.7   2   1   0   2   2   2   1 -
Unsecreted_THA_XP_024779161.1 -          AAA_33               PF13671.8     0.0013   14.6   0.3    0.0052   12.7   0.0   2.1   2   0   0   2   2   2   1 -
Unsecreted_THA_XP_024779161.1                      -          AAA_5                PF07728.16   0.00011   17.9   0.0   0.00027   16.7   0.0   1.7   1   0   0   1   1   1   1 -
Unsecreted_ASP_KAF7977175.1                        -          AAA_5                PF07728.16     0.001   14.8   0.0    0.0032   13.2   0.0   1.8   1   0   0   1   1   1   1 -
Unsecreted_FOL_RSL93468.1                          -          AAA_5                PF07728.16    0.0011   14.7   0.0    0.0025   13.5   0.0   1.7   1   1   0   1   1   1   1 -
Unsecreted_TMA_KAF8225790.1                        -          AAA_5                PF07728.16    0.0014   14.4   0.6      0.34    6.6   0.0   3.4   4   0   0   4   4   4   1 -
Unsecreted_DDI_XP_645911.1                         -          AAA_5                PF07728.16    0.0024   13.6   0.0    0.0046   12.7   0.0   1.5   2   0   0   2   2   2   1 -
Unsecreted_RIR_XP_025170318.1                      -          AAA_5                PF07728.16    0.0033   13.1   0.1     0.013   11.2   0.0   2.0   2   0   0   2   2   2   1 -
Unsecreted_LGO_jgi_LeugonAS2_1_2390860_gm4.38203_g -          AAA_5                PF07728.16    0.0049   12.6   0.0      0.01   11.6   0.0   1.5   1   0   0   1   1   1   1 -
Unsecreted_TMA_KAF8225790.1                        -          AAA_7                PF12775.9    0.00015   17.1   0.0     0.093    7.9   0.0   2.5   2   0   0   2   2   2   2 -
Unsecreted_RAL_EPZ31047.1                          -          AAA_7                PF12775.9    0.00049   15.4   0.1     0.001   14.4   0.1   1.5   1   0   0   1   1   1   1 -
Unsecreted_DDI_XP_645911.1                         -          AAA_7                PF12775.9    0.00073   14.8   0.1    0.0011   14.2   0.1   1.2   1   0   0   1   1   1   1 -
Unsecreted_RIR_XP_025170318.1                      -          AAA_7                PF12775.9     0.0014   13.9   0.0    0.0038   12.5   0.0   1.7   1   0   0   1   1   1   1 -
Unsecreted_LGO_jgi_LeugonAS2_1_2390860_gm4.38203_g -          AAA_7                PF12775.9     0.0031   12.8   0.0    0.0053   12.0   0.0   1.3   1   0   0   1   1   1   1 -
Unsecreted_DDI_XP_640914.1                         -          AAA_7                PF12775.9     0.0047   12.2   7.2    0.0078   11.5   0.0   2.8   3   0   0   3   3   3   1 -
Unsecreted_MCI_L0F63_001385-T1 -          AAA_lid_3            PF17862.3    1.1e-11   40.1   0.0   2.9e-11   38.8   0.0   1.7   1   0   0   1   1   1   1 -
Unsecreted_NCR_XP_959940.1 -          AalphaY_MDB          PF04611.14    0.0069   12.1   0.1     0.016   10.9   0.1   1.5   1   0   0   1   1   1   1 -
Unsecreted_FOL_RSM09165.1  -          AA_permease          PF00324.23   1.1e-68  227.6  36.0   5.3e-51  169.3   5.5   3.0   3   0   0   3   3   3   3 -
Unsecreted_DDI_XP_637218.1 -          AA_permease          PF00324.23   4.6e-18   60.7  56.8   6.3e-18   60.3  56.8   1.0   1   0   0   1   1   1   1 -
Unsecreted_DDI_XP_637218.1 -          AA_permease_2        PF13520.8    3.7e-24   81.0  66.1   5.1e-24   80.6  66.1   1.2   1   0   0   1   1   1   1 -
Unsecreted_NSP_KAG0167337.1 -          AA_permease_C        PF13906.8       0.28    7.1  10.3     0.069    9.0   5.1   2.6   3   0   0   3   3   3   0 -
Unsecreted_DDI_XP_644907.1 -          AA_permease_N        PF08403.12    0.0039   12.4   0.0     0.012   10.9   0.0   1.8   1   0   0   1   1   1   1 -
Unsecreted_PIN_XP_002898867.1  -          Aa_trans             PF01490.20   1.4e-73  243.6  25.2   1.7e-73  243.4  25.2   1.0   1   0   0   1   1   1   1 -
Unsecreted_PEF_RQM18454.1      -          Aa_trans             PF01490.20   3.9e-71  235.6  28.2   4.7e-71  235.3  28.2   1.0   1   0   0   1   1   1   1 -
Unsecreted_MCI_L0F63_003997-T1 -          Aa_trans             PF01490.20   4.4e-71  235.4  26.0   5.4e-71  235.1  26.0   1.0   1   0   0   1   1   1   1 -
Unsecreted_AMA_KNE69454.1     -          ABC1                 PF03109.18   3.3e-07   25.3   0.0    0.0022   12.8   0.0   2.2   1   1   0   2   2   2   2 -
Unsecreted_RIR_XP_025188535.1 -          ABC1                 PF03109.18   2.7e-06   22.4   0.0   7.1e-06   21.0   0.0   1.7   2   0   0   2   2   2   1 -
Unsecreted_MAN_KID66610.1     -          ABC1                 PF03109.18   3.4e-05   18.8   0.8   8.8e-05   17.4   0.0   1.8   2   0   0   2   2   2   1 -
Unsecreted_RIR_XP_025167256.1 -          ABC1                 PF03109.18   0.00025   15.9   0.1      0.04    8.7   0.0   2.6   3   0   0   3   3   3   2 -
Unsecreted_RIR_XP_025189290.1 -          ABC1                 PF03109.18   0.00075   14.4   0.0    0.0023   12.8   0.1   1.7   2   0   0   2   2   2   1 -
Unsecreted_EMU_KAF7750656.1   -          ABC1                 PF03109.18    0.0071   11.2   0.0     0.016   10.0   0.0   1.5   1   0   0   1   1   1   1 -
Unsecreted_PIN_XP_002905942.1 -          ABC2_membrane        PF01061.26   1.4e-33  111.8  38.7     7e-26   86.7  20.5   4.6   5   0   0   5   5   5   2 -
Unsecreted_DDI_XP_638336.1 -          ABC2_membrane_2      PF12679.9     0.0034   12.3   1.2    0.0059   11.5   1.2   1.4   1   0   0   1   1   1   1 -
Unsecreted_DDI_XP_644031.1    -          ABC2_membrane_3      PF12698.9      6e-51  169.2  88.0   1.5e-33  112.0  42.4   2.8   2   1   0   2   2   2   2 -
Unsecreted_PIN_XP_002905942.1 -          ABC2_membrane_3      PF12698.9    0.00019   16.3  15.5   0.00019   16.3  15.5   2.6   3   1   1   4   4   4   1 -
Unsecreted_NSP_KAG0175419.1   -          ABC2_membrane_3      PF12698.9     0.0088   10.8   9.3     0.017    9.9   9.3   1.4   1   0   0   1   1   1   1 -
Unsecreted_PIN_XP_002905942.1 -          ABC2_membrane_7      PF19055.2    8.3e-20   66.7   0.0   3.4e-10   35.0   0.0   2.5   2   0   0   2   2   2   2 -
Unsecreted_TMA_KAF8225790.1 -          ABC_membrane         PF00664.25   1.6e-39  131.9  20.1   4.2e-19   64.9   4.1   3.4   3   0   0   3   3   3   3 -
Unsecreted_DDI_XP_644031.1    -          ABC_tran             PF00005.29   3.6e-53  175.5   0.8   3.3e-26   88.2   0.2   2.7   2   0   0   2   2   2   2 -
Unsecreted_TMA_KAF8225790.1   -          ABC_tran             PF00005.29     1e-43  144.9   0.0   1.8e-26   89.0   0.0   2.7   2   0   0   2   2   2   2 -
Unsecreted_PIN_XP_002905942.1 -          ABC_tran             PF00005.29   1.1e-19   67.1   0.0   4.8e-09   32.6   0.0   2.4   2   0   0   2   2   2   2 -
Unsecreted_BME_ORX97418.1     -          ABC_tran             PF00005.29   0.00022   17.5   0.0   0.00037   16.7   0.0   1.5   1   1   0   1   1   1   1 -
Unsecreted_RIR_XP_025170318.1 -          ABC_tran             PF00005.29     0.001   15.3   1.7    0.0033   13.7   0.0   2.6   2   0   0   2   2   2   1 -
Unsecreted_RAL_EPZ31047.1     -          ABC_tran             PF00005.29     0.001   15.3   0.0     0.031   10.5   0.0   2.3   2   0   0   2   2   2   1 -
Unsecreted_SST_KIJ47617.1                                      -          Abhydrolase_1        PF00561.22     1e-06   24.3   0.0   2.8e-06   22.9   0.0   1.7   2   0   0   2   2   2   1 -
Unsecreted_PRU_jgi_Orpsp1_1_1180725_evm.model.c7180000074439.1 -          Abhydrolase_1        PF00561.22    0.0027   13.0   0.0     0.017   10.5   0.0   2.0   1   1   1   2   2   2   1 -
Unsecreted_PRU_jgi_Orpsp1_1_1180725_evm.model.c7180000074439.1 -          Abhydrolase_2        PF02230.18    0.0011   14.5   0.0    0.0021   13.6   0.0   1.4   1   0   0   1   1   1   1 -
Unsecreted_RIR_XP_025185389.1 -          Abhydrolase_3        PF07859.15   4.7e-39  130.1   0.0   7.4e-31  103.3   0.0   2.8   3   0   0   3   3   3   2 -
Unsecreted_SST_KIJ47617.1                                      -          Abhydrolase_6        PF12697.9      7e-06   22.5   0.1   2.1e-05   20.9   0.0   1.9   2   0   0   2   2   2   1 -
Unsecreted_RIR_XP_025185389.1                                  -          Abhydrolase_6        PF12697.9    0.00082   15.7   0.0    0.0014   15.0   0.0   1.5   1   0   0   1   1   1   1 -
Unsecreted_PRU_jgi_Orpsp1_1_1180725_evm.model.c7180000074439.1 -          Abhydrolase_6        PF12697.9     0.0058   12.9   0.0    0.0077   12.5   0.0   1.2   1   0   0   1   1   1   1 -
Unsecreted_DDI_XP_647088.1 -          ACAS_N               PF16177.7    1.1e-16   56.2   4.4   6.3e-16   53.8   1.9   2.5   2   0   0   2   2   2   2 -
Unsecreted_POR_XP_003713256.1 -          Acetyltransf_10      PF13673.9     0.0013   14.4   0.1    0.0036   13.0   0.1   1.8   1   1   0   1   1   1   1 -
Unsecreted_OCA_KAF4587329.1 -          ACT                  PF01842.27    0.0027   13.2   0.0    0.0057   12.2   0.0   1.6   1   0   0   1   1   1   1 -
Unsecreted_DDI_XP_637335.1 -          Activator_LAG-3      PF11498.10       1.1    3.8  31.5       1.5    3.4  31.5   1.1   1   0   0   1   1   1   0 -
Unsecreted_MCI_L0F63_004952-T1 -          Acyltransferase      PF01553.23   5.1e-17   57.5   0.0   8.6e-17   56.7   0.0   1.3   1   0   0   1   1   1   1 -
Unsecreted_DDI_XP_644907.1    -          Acyl_transf_1        PF00698.23   1.5e-41  138.6   0.0   2.5e-41  137.9   0.0   1.3   1   0   0   1   1   1   1 -
Unsecreted_DDI_XP_001732967.1 -          Acyl_transf_1        PF00698.23   2.1e-37  125.0   0.0   3.2e-37  124.4   0.0   1.2   1   0   0   1   1   1   1 -
Unsecreted_OCA_KAF4591863.1   -          Acyl_transf_1        PF00698.23   7.4e-22   73.9   0.2   3.5e-20   68.4   0.1   2.3   2   0   0   2   2   2   2 -
Unsecreted_NSP_KAG0172126.1                                                       -          ADAM_CR_2            PF17771.3    4.3e-07   26.1   5.7   4.3e-07   26.1   5.7   3.8   2   1   1   3   3   3   1 -
Unsecreted_URA_jgi_Umbra1_262730_fgenesh1_kg.100___35___combest_scaffold_100_7588 -          ADAM_CR_2            PF17771.3    1.8e-06   24.1  13.6   1.8e-06   24.1  13.6   4.4   2   2   2   4   4   4   1 -
Unsecreted_RMI_XP_023467407.1                                                     -          ADAM_CR_2            PF17771.3    1.8e-06   24.1   6.9   1.8e-06   24.1   6.9   3.8   2   1   1   3   3   3   1 -
Unsecreted_FFL_RSL67394.1                                                         -          ADAM_CR_2            PF17771.3    2.4e-06   23.7  10.9   2.4e-06   23.7  10.9   4.6   2   2   1   3   3   3   1 -
Unsecreted_LGO_jgi_LeugonAS2_1_606999_CE606998_28243                              -          ADAM_CR_2            PF17771.3      3e-06   23.4   6.1     3e-06   23.4   6.1   3.9   3   1   1   4   4   4   1 -
Unsecreted_PSA_PJF17525.1                                                         -          ADAM_CR_2            PF17771.3    6.1e-06   22.4   8.8   6.1e-06   22.4   8.8   4.2   1   1   3   4   4   4   1 -
Unsecreted_CQU_KAG0142973.1                                                       -          ADAM_CR_2            PF17771.3    3.6e-05   20.0  10.1   3.6e-05   20.0  10.1   3.8   1   1   1   2   2   2   1 -
Unsecreted_CPA_KAF3765894.1                                                       -          ADAM_CR_2            PF17771.3    4.5e-05   19.6  11.2   4.5e-05   19.6  11.2   5.3   1   1   4   5   5   5   2 -
Unsecreted_PGR_XP_003319833.2                                                     -          ADAM_CR_2            PF17771.3    0.00025   17.3   8.7   0.00025   17.3   8.7   4.1   1   1   2   3   3   3   1 -
Unsecreted_LGO_jgi_LeugonAS2_1_2166572_estExt_fgenesh1_pm.C_1060011 -          Adaptin_N            PF01602.22   2.3e-10   35.3   5.0      0.02    9.1   0.1   7.2   4   3   1   5   5   5   4 -
Unsecreted_FAL_XP_009493563.1                                       -          Adaptin_N            PF01602.22   8.1e-05   17.0   0.1     0.016    9.4   0.1   2.7   2   1   0   2   2   2   2 -
Unsecreted_FAL_XP_009493562.1                                       -          Adaptin_N            PF01602.22   8.1e-05   17.0   0.1     0.015    9.5   0.1   2.6   2   1   0   2   2   2   2 -
Unsecreted_TMA_KAF8225790.1 -          Adeno_IVa2           PF02456.17    0.0039   11.7   0.0     0.059    7.8   0.0   2.3   2   0   0   2   2   2   2 -
Unsecreted_DDI_XP_644907.1 -          ADH_N                PF08240.14   8.2e-06   21.4   0.2   1.9e-05   20.2   0.2   1.6   1   0   0   1   1   1   1 -
Unsecreted_DDI_XP_001732967.1 -          adh_short_C2         PF13561.8     0.0023   13.2   0.0    0.0059   11.9   0.0   1.6   1   0   0   1   1   1   1 -
Unsecreted_DDI_XP_644907.1    -          adh_short_C2         PF13561.8     0.0041   12.4   0.3    0.0095   11.2   0.3   1.5   1   0   0   1   1   1   1 -
Unsecreted_DDI_XP_644907.1 -          ADH_zinc_N_2         PF13602.8    1.5e-05   21.8   0.0   0.00044   17.0   0.0   3.1   2   1   0   2   2   2   1 -
Unsecreted_EMU_KAF7743872.1 -          ADK_lid              PF05191.16      0.01   11.5   6.1     0.066    8.9   2.2   2.8   2   0   0   2   2   2   0 -
Unsecreted_EMU_KAF7751565.1 -          ADK_lid              PF05191.16     0.014   11.1   6.8     0.043    9.5   1.9   2.7   2   0   0   2   2   2   0 -
Unsecreted_RIR_XP_025164603.1 -          AFT                  PF08731.13     0.012   11.8   4.8      0.13    8.4   0.7   3.0   3   0   0   3   3   3   0 -
Unsecreted_PEF_RQM09034.1 -          Aida_C2              PF14186.8    4.2e-34  113.0   0.0   1.7e-33  111.0   0.0   2.0   1   1   0   1   1   1   1 -
Unsecreted_CRE_PIA19418.1     -          AIG1                 PF04548.18   0.00014   17.0   0.0   0.00021   16.4   0.0   1.3   1   0   0   1   1   1   1 -
Unsecreted_RIR_XP_025170318.1 -          AIG1                 PF04548.18      0.02    9.9  10.3     0.073    8.1   0.0   3.6   4   0   0   4   4   4   0 -
Unsecreted_PFA_XP_966279.2 -          AIMP2_LysRS_bd       PF16780.7      0.005   12.3   0.1      0.02   10.4   0.1   2.0   1   0   0   1   1   1   1 -
Unsecreted_PFA_XP_001351976.1 -          AIRS                 PF00586.26   1.3e-10   37.3   0.0   2.5e-10   36.4   0.0   1.5   1   0   0   1   1   1   1 -
