# SignalP-5.0	Organism: Eukarya	Timestamp: 20220322163127
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
AMA_KNE68163.1	OTHER	0.002228	0.997772	
AMA_KNE69454.1	OTHER	0.000587	0.999413	
AMA_KNE70306.1	OTHER	0.025559	0.974441	
AMA_KNE70308.1	OTHER	0.231117	0.768883	
AMA_KNE70703.1	OTHER	0.002078	0.997922	
AMA_KNE70713.1	OTHER	0.001512	0.998488	
AMA_KNE70714.1	OTHER	0.000848	0.999152	
AMA_KNE70730.1	OTHER	0.004555	0.995445	
AMA_KNE71340.1	OTHER	0.000796	0.999204	
AMA_KNE71399.1	OTHER	0.002539	0.997461	
AMA_KNE71480.1	OTHER	0.000399	0.999601	
AMA_KNE72130.1	OTHER	0.001986	0.998014	
AMA_KNE72191.1	OTHER	0.005798	0.994202	
ASP_KAF7965367.1	OTHER	0.000339	0.999661	
ASP_KAF7966275.1	OTHER	0.010223	0.989777	
ASP_KAF7966465.1	OTHER	0.019449	0.980551	
ASP_KAF7968172.1	OTHER	0.001829	0.998171	
ASP_KAF7968656.1	OTHER	0.000475	0.999525	
ASP_KAF7968782.1	OTHER	0.000812	0.999188	
ASP_KAF7970077.1	OTHER	0.000399	0.999601	
ASP_KAF7974465.1	OTHER	0.002436	0.997564	
ASP_KAF7974587.1	OTHER	0.287294	0.712706	
ASP_KAF7977175.1	OTHER	0.001200	0.998800	
ASP_KAF7977509.1	OTHER	0.000356	0.999644	
ASP_KAF7982086.1	OTHER	0.001428	0.998572	
ASP_KAF7982463.1	OTHER	0.000741	0.999259	
ASP_KAF7984636.1	OTHER	0.001670	0.998330	
ASP_KAF7984730.1	OTHER	0.001671	0.998329	
ASP_KAF7985088.1	OTHER	0.000528	0.999472	
BDE_XP_006675087.1	OTHER	0.000219	0.999781	
BDE_XP_006675417.1	OTHER	0.004096	0.995904	
BDE_XP_006675710.1	OTHER	0.001912	0.998088	
BDE_XP_006677255.1	OTHER	0.002124	0.997876	
BDE_XP_006678372.1	SP(Sec/SPI)	0.977019	0.022981	CS pos: 19-20. CSA-AV. Pr: 0.7773
BDE_XP_006678447.1	OTHER	0.000507	0.999493	
BDE_XP_006679657.1	OTHER	0.001695	0.998305	
BDE_XP_006680002.1	OTHER	0.001755	0.998245	
BDE_XP_006680079.1	OTHER	0.002229	0.997771	
BDE_XP_006680319.1	OTHER	0.001462	0.998538	
BDE_XP_006680357.1	OTHER	0.004008	0.995992	
BDE_XP_006680710.1	SP(Sec/SPI)	0.997225	0.002775	CS pos: 17-18. CSA-QV. Pr: 0.6535
BDE_XP_006681163.1	OTHER	0.000491	0.999509	
BDE_XP_006681639.1	OTHER	0.001856	0.998144	
BME_ORX64766.1	OTHER	0.015935	0.984065	
BME_ORX65011.1	OTHER	0.004000	0.996000	
BME_ORX77066.1	OTHER	0.001281	0.998719	
BME_ORX80292.1	OTHER	0.003105	0.996895	
BME_ORX81394.1	OTHER	0.009438	0.990562	
BME_ORX84354.1	OTHER	0.002618	0.997382	
BME_ORX88715.1	OTHER	0.000504	0.999496	
BME_ORX89384.1	OTHER	0.000487	0.999513	
BME_ORX89632.1	OTHER	0.005884	0.994116	
BME_ORX89687.1	SP(Sec/SPI)	0.999363	0.000637	CS pos: 24-25. GSA-LP. Pr: 0.8630
BME_ORX89688.1	SP(Sec/SPI)	0.999363	0.000637	CS pos: 24-25. GSA-LP. Pr: 0.8630
BME_ORX89689.1	SP(Sec/SPI)	0.999363	0.000637	CS pos: 24-25. GSA-LP. Pr: 0.8630
BME_ORX90627.1	OTHER	0.000416	0.999584	
BME_ORX90684.1	OTHER	0.000504	0.999496	
BME_ORX91221.1	OTHER	0.004200	0.995800	
BME_ORX92127.1	OTHER	0.001904	0.998096	
BME_ORX92391.1	OTHER	0.001139	0.998861	
BME_ORX94271.1	OTHER	0.010737	0.989263	
BME_ORX96874.1	OTHER	0.002409	0.997591	
BME_ORX97418.1	OTHER	0.000469	0.999531	
BME_ORX98966.1	SP(Sec/SPI)	0.990069	0.009931	CS pos: 22-23. TKA-HS. Pr: 0.6847
BME_ORY01541.1	OTHER	0.001216	0.998784	
BME_ORY01649.1	OTHER	0.015935	0.984065	
BME_ORY02122.1	OTHER	0.001805	0.998195	
BME_ORY07120.1	OTHER	0.005417	0.994583	
BME_ORY07591.1	OTHER	0.001427	0.998573	
CAL_XP_712590.2	SP(Sec/SPI)	0.914182	0.085818	CS pos: 19-20. VSS-SW. Pr: 0.4891
CAL_XP_715565.1	SP(Sec/SPI)	0.995111	0.004889	CS pos: 24-25. ALA-RI. Pr: 0.8691
CAL_XP_716031.2	OTHER	0.001562	0.998438	
CAL_XP_716044.2	OTHER	0.073510	0.926490	
CAL_XP_716451.2	OTHER	0.000872	0.999128	
CAL_XP_717199.2	OTHER	0.003317	0.996683	
CAL_XP_717780.1	OTHER	0.000431	0.999569	
CAL_XP_718229.2	OTHER	0.001021	0.998979	
CAL_XP_718821.2	OTHER	0.000471	0.999529	
CAL_XP_719839.2	OTHER	0.003120	0.996880	
CAL_XP_720987.2	OTHER	0.001059	0.998941	
CAL_XP_721399.1	OTHER	0.000443	0.999557	
CIM_XP_001239597.2	OTHER	0.001849	0.998151	
CIM_XP_001240177.1	OTHER	0.000728	0.999272	
CIM_XP_001240680.2	SP(Sec/SPI)	0.950853	0.049147	CS pos: 18-19. ILA-GS. Pr: 0.7759
CIM_XP_001241651.2	SP(Sec/SPI)	0.998996	0.001004	CS pos: 17-18. VHS-RK. Pr: 0.9650
CIM_XP_001243407.1	SP(Sec/SPI)	0.969479	0.030521	CS pos: 16-17. AAA-TN. Pr: 0.2327
CIM_XP_001243627.2	SP(Sec/SPI)	0.996119	0.003881	CS pos: 26-27. ADA-VW. Pr: 0.8732
CIM_XP_001243901.1	OTHER	0.012770	0.987230	
CIM_XP_001244599.2	OTHER	0.033453	0.966547	
CIM_XP_001245948.2	OTHER	0.001521	0.998479	
CIM_XP_001246119.2	SP(Sec/SPI)	0.994354	0.005646	CS pos: 18-19. SRA-LE. Pr: 0.7924
CIM_XP_001247031.1	OTHER	0.000845	0.999155	
CIM_XP_001247513.2	OTHER	0.000259	0.999741	
CIM_XP_001247644.1	OTHER	0.004089	0.995911	
CIM_XP_001247733.2	SP(Sec/SPI)	0.985770	0.014230	CS pos: 24-25. VLA-HA. Pr: 0.5137
CIM_XP_001248721.1	SP(Sec/SPI)	0.991220	0.008780	CS pos: 19-20. SQA-VE. Pr: 0.6666
CIM_XP_001248725.1	OTHER	0.002334	0.997666	
CMA_jgi_Corma2_687337_fgenesh1_kg.3___135___Locus19217v1rpkm0.22	SP(Sec/SPI)	0.999582	0.000418	CS pos: 17-18. AVA-AP. Pr: 0.3547
CMA_jgi_Corma2_726355_estExt_fgenesh1_pg.C_90063	SP(Sec/SPI)	0.952945	0.047055	CS pos: 19-20. VVG-TP. Pr: 0.4202
CMA_jgi_Corma2_726356_estExt_fgenesh1_pg.C_90064	SP(Sec/SPI)	0.997408	0.002592	CS pos: 18-19. ALA-RA. Pr: 0.7055
CMA_jgi_Corma2_688422_fgenesh1_kg.12___33___Locus3344v2rpkm25.42	SP(Sec/SPI)	0.995856	0.004144	CS pos: 22-23. TAA-LD. Pr: 0.5515
CMA_jgi_Corma2_767270_estExt_Genemark1.C_110064	OTHER	0.000856	0.999144	
CMA_jgi_Corma2_161367_CE161366_1091	OTHER	0.003777	0.996223	
CMA_jgi_Corma2_190015_CE190014_64	OTHER	0.018968	0.981032	
CMA_jgi_Corma2_736035_gm1.1687_g	OTHER	0.003350	0.996650	
CMA_jgi_Corma2_768404_estExt_Genemark1.C_300028	OTHER	0.000500	0.999500	
CMA_jgi_Corma2_274122_CE274121_2542	SP(Sec/SPI)	0.994779	0.005221	CS pos: 17-18. AHG-QL. Pr: 0.8231
CMA_jgi_Corma2_691639_fgenesh1_kg.46___70___Locus13985v1rpkm0.83	OTHER	0.001453	0.998547	
CMA_jgi_Corma2_600737_gw1.48.24.1	SP(Sec/SPI)	0.999707	0.000293	CS pos: 19-20. AEA-SL. Pr: 0.6491
CMA_jgi_Corma2_705297_fgenesh1_pg.50___48	OTHER	0.002071	0.997929	
CMA_jgi_Corma2_705663_fgenesh1_pg.59___12	SP(Sec/SPI)	0.988757	0.011243	CS pos: 15-16. VSA-GD. Pr: 0.7704
CMA_jgi_Corma2_693352_fgenesh1_kg.72___14___Locus2091v1rpkm60.55	OTHER	0.012921	0.987079	
CMA_jgi_Corma2_730093_estExt_fgenesh1_pg.C_970001	OTHER	0.020799	0.979201	
CMA_jgi_Corma2_51158_CE51157_118	OTHER	0.003677	0.996323	
CMA_jgi_Corma2_694482_fgenesh1_kg.92___36___Locus8600v1rpkm5.63	OTHER	0.010830	0.989170	
CMA_jgi_Corma2_52288_CE52287_49	OTHER	0.000720	0.999280	
CMA_jgi_Corma2_72288_CE72287_434	OTHER	0.002359	0.997641	
CMA_jgi_Corma2_695956_fgenesh1_kg.122___29___Locus2613v2rpkm14.73	OTHER	0.001744	0.998256	
CMA_jgi_Corma2_631736_e_gw1.98.54.1	OTHER	0.005905	0.994095	
CMA_jgi_Corma2_70156_CE70155_2011	SP(Sec/SPI)	0.998073	0.001927	CS pos: 16-17. VEA-RG. Pr: 0.8464
CMA_jgi_Corma2_716787_fgenesh1_pm.149___1	SP(Sec/SPI)	0.953162	0.046838	CS pos: 23-24. SLA-HS. Pr: 0.6316
CMA_jgi_Corma2_607757_gw1.197.30.1	OTHER	0.002666	0.997334	
CMA_jgi_Corma2_697290_fgenesh1_kg.157___29___Locus5645v2rpkm11.83	OTHER	0.000848	0.999152	
CMA_jgi_Corma2_741081_gm1.6733_g	SP(Sec/SPI)	0.978146	0.021854	CS pos: 18-19. VRA-EL. Pr: 0.8843
CMA_jgi_Corma2_723877_estExt_fgenesh1_pm.C_1700004	SP(Sec/SPI)	0.950852	0.049148	CS pos: 21-22. VVA-QC. Pr: 0.5870
CMA_jgi_Corma2_195259_CE195258_1392	OTHER	0.000852	0.999148	
CMA_jgi_Corma2_773723_estExt_Genemark1.C_2050004	OTHER	0.001331	0.998669	
CMA_jgi_Corma2_742395_gm1.8047_g	SP(Sec/SPI)	0.998831	0.001169	CS pos: 18-19. ASA-AP. Pr: 0.6478
CMA_jgi_Corma2_773738_estExt_Genemark1.C_2060006	OTHER	0.002351	0.997649	
CMA_jgi_Corma2_601274_gw1.210.33.1	OTHER	0.017345	0.982655	
CMA_jgi_Corma2_256807_CE256806_1154	OTHER	0.118058	0.881942	
CMA_jgi_Corma2_266982_CE266981_479	OTHER	0.016869	0.983131	
CMA_jgi_Corma2_717811_fgenesh1_pm.224___1	OTHER	0.003085	0.996915	
CMA_jgi_Corma2_245574_CE245573_4204	OTHER	0.000632	0.999368	
CMA_jgi_Corma2_710038_fgenesh1_pg.230___2	OTHER	0.000627	0.999373	
CMA_jgi_Corma2_277714_CE277713_1825	SP(Sec/SPI)	0.971729	0.028271	CS pos: 30-31. AMA-SP. Pr: 0.7352
CMA_jgi_Corma2_733600_estExt_fgenesh1_pg.C_3190010	OTHER	0.002188	0.997812	
CMA_jgi_Corma2_368954_CE368953_6921	SP(Sec/SPI)	0.974325	0.025675	CS pos: 17-18. AQA-QH. Pr: 0.5332
CMA_jgi_Corma2_758492_MIX13313_88_94	OTHER	0.029033	0.970967	
CMI_XP_006665602.1	OTHER	0.003910	0.996090	
CMI_XP_006665720.1	OTHER	0.028143	0.971857	
CMI_XP_006666521.1	OTHER	0.001341	0.998659	
CMI_XP_006666604.1	SP(Sec/SPI)	0.985714	0.014286	CS pos: 20-21. AAG-SD. Pr: 0.5845
CMI_XP_006667329.1	SP(Sec/SPI)	0.628733	0.371267	CS pos: 22-23. VLA-HS. Pr: 0.3964
CMI_XP_006667390.1	SP(Sec/SPI)	0.870279	0.129721	CS pos: 21-22. TAA-FT. Pr: 0.3665
CMI_XP_006667720.1	OTHER	0.001246	0.998754	
CMI_XP_006667961.1	SP(Sec/SPI)	0.998686	0.001314	CS pos: 18-19. VAA-QQ. Pr: 0.6844
CMI_XP_006668791.1	OTHER	0.003919	0.996081	
CMI_XP_006669213.1	SP(Sec/SPI)	0.963194	0.036806	CS pos: 18-19. AWA-TT. Pr: 0.4480
CMI_XP_006669244.1	OTHER	0.002992	0.997008	
CMI_XP_006669283.1	SP(Sec/SPI)	0.944294	0.055706	CS pos: 20-21. AEA-QP. Pr: 0.5902
CMI_XP_006669851.1	OTHER	0.024369	0.975631	
CMI_XP_006670771.1	SP(Sec/SPI)	0.994374	0.005626	CS pos: 16-17. VVA-AP. Pr: 0.4202
CMI_XP_006671509.1	OTHER	0.003003	0.996997	
CMI_XP_006672231.1	OTHER	0.000453	0.999547	
CMI_XP_006673461.1	OTHER	0.001515	0.998485	
CMI_XP_006673590.1	OTHER	0.002151	0.997849	
CMI_XP_006674067.1	OTHER	0.002550	0.997450	
CMI_XP_006674427.1	OTHER	0.012216	0.987784	
CNE_XP_024512251.1	OTHER	0.000854	0.999146	
CNE_XP_024512359.1	OTHER	0.001794	0.998206	
CNE_XP_024513104.1	OTHER	0.003554	0.996446	
CNE_XP_024513522.1	OTHER	0.000902	0.999098	
CNE_XP_024513755.1	SP(Sec/SPI)	0.669245	0.330755	CS pos: 30-31. VDC-RS. Pr: 0.5727
CNE_XP_568347.1	OTHER	0.001512	0.998488	
CNE_XP_572252.1	OTHER	0.003093	0.996907	
CNE_XP_572764.1	SP(Sec/SPI)	0.929706	0.070294	CS pos: 33-34. VDA-RS. Pr: 0.8868
CPA_KAF3762046.1	SP(Sec/SPI)	0.958507	0.041493	CS pos: 21-22. SNA-SP. Pr: 0.8693
CPA_KAF3762168.1	OTHER	0.022100	0.977900	
CPA_KAF3762615.1	OTHER	0.001235	0.998765	
CPA_KAF3764225.1	OTHER	0.013270	0.986730	
CPA_KAF3764336.1	OTHER	0.000923	0.999077	
CPA_KAF3765894.1	OTHER	0.006091	0.993909	
CPA_KAF3767445.1	OTHER	0.001250	0.998750	
CPA_KAF3768918.1	OTHER	0.001769	0.998231	
CPA_KAF3768926.1	OTHER	0.000644	0.999356	
CPA_KAF3769046.1	OTHER	0.001229	0.998771	
CPA_KAF3769176.1	SP(Sec/SPI)	0.999093	0.000907	CS pos: 19-20. VLA-GP. Pr: 0.9727
CPA_KAF3769786.1	SP(Sec/SPI)	0.974953	0.025047	CS pos: 21-22. GLA-LE. Pr: 0.4198
CQU_KAG0140804.1	OTHER	0.002937	0.997063	
CQU_KAG0140974.1	OTHER	0.001028	0.998972	
CQU_KAG0141898.1	OTHER	0.000486	0.999514	
CQU_KAG0142163.1	OTHER	0.001001	0.998999	
CQU_KAG0142373.1	OTHER	0.000314	0.999686	
CQU_KAG0142973.1	OTHER	0.403585	0.596415	
CQU_KAG0142978.1	SP(Sec/SPI)	0.937815	0.062185	CS pos: 27-28. VHA-HS. Pr: 0.7384
CQU_KAG0143667.1	OTHER	0.004395	0.995605	
CQU_KAG0147148.1	OTHER	0.000899	0.999101	
CQU_KAG0147246.1	SP(Sec/SPI)	0.854283	0.145717	CS pos: 23-24. CCG-LS. Pr: 0.4747
CQU_KAG0147324.1	OTHER	0.000379	0.999621	
CQU_KAG0149799.1	OTHER	0.001320	0.998680	
CQU_KAG0150956.1	OTHER	0.003349	0.996651	
CRE_PIA12786.1	OTHER	0.001953	0.998047	
CRE_PIA12916.1	OTHER	0.012110	0.987890	
CRE_PIA13303.1	OTHER	0.015751	0.984249	
CRE_PIA13791.1	OTHER	0.000774	0.999226	
CRE_PIA13819.1	OTHER	0.000590	0.999410	
CRE_PIA14045.1	OTHER	0.001228	0.998772	
CRE_PIA14811.1	OTHER	0.005714	0.994286	
CRE_PIA15296.1	OTHER	0.015446	0.984554	
CRE_PIA16368.1	OTHER	0.001990	0.998010	
CRE_PIA17261.1	OTHER	0.001016	0.998984	
CRE_PIA18599.1	OTHER	0.000578	0.999422	
CRE_PIA18707.1	OTHER	0.003427	0.996573	
CRE_PIA19079.1	OTHER	0.000769	0.999231	
CRE_PIA19404.1	OTHER	0.002584	0.997416	
CRE_PIA19418.1	OTHER	0.002482	0.997518	
CRE_PIA19731.1	OTHER	0.002823	0.997177	
CTH_jgi_Conth1_326876_fgenesh1_pg.2___65	OTHER	0.006892	0.993108	
CTH_jgi_Conth1_345542_gm1.270_g	OTHER	0.000184	0.999816	
CTH_jgi_Conth1_362160_estExt_Genemark1.C_50073	SP(Sec/SPI)	0.906508	0.093492	CS pos: 19-20. TLA-HS. Pr: 0.4351
CTH_jgi_Conth1_288377_e_gw1.27.18.1	OTHER	0.000376	0.999624	
CTH_jgi_Conth1_111940_CE111939_6267	OTHER	0.000278	0.999722	
CTH_jgi_Conth1_340885_estExt_fgenesh1_pg.C_380037	OTHER	0.039218	0.960782	
CTH_jgi_Conth1_341529_estExt_fgenesh1_pg.C_560009	OTHER	0.000413	0.999587	
CTH_jgi_Conth1_325303_fgenesh1_kg.128___3___Locus4300v1rpkm29.00	OTHER	0.001233	0.998767	
CTH_jgi_Conth1_325246_fgenesh1_kg.123___4___Locus7347v1rpkm6.51	OTHER	0.002054	0.997946	
CTH_jgi_Conth1_351263_gm1.5991_g	OTHER	0.001748	0.998252	
CTH_jgi_Conth1_325462_fgenesh1_kg.143___2___Locus7533v2rpkm0.47_PRE	OTHER	0.005378	0.994622	
CTH_jgi_Conth1_75378_CE75377_18618	OTHER	0.002123	0.997877	
CTH_jgi_Conth1_325948_fgenesh1_kg.213___5___Locus4115v1rpkm31.15	OTHER	0.000193	0.999807	
CTH_jgi_Conth1_344079_estExt_fgenesh1_pg.C_2060005	OTHER	0.000125	0.999875	
CTH_jgi_Conth1_368486_estExt_Genemark1.C_2950003	OTHER	0.000151	0.999849	
DDI_XP_001134481.1	OTHER	0.000519	0.999481	
DDI_XP_001134628.1	OTHER	0.001148	0.998852	
DDI_XP_001732967.1	OTHER	0.002261	0.997739	
DDI_XP_001732995.1	OTHER	0.000414	0.999586	
DDI_XP_628911.1	OTHER	0.002630	0.997370	
DDI_XP_629224.1	OTHER	0.000430	0.999570	
DDI_XP_629459.1	OTHER	0.000428	0.999572	
DDI_XP_629488.1	OTHER	0.000313	0.999687	
DDI_XP_629961.1	OTHER	0.004511	0.995489	
DDI_XP_635899.1	OTHER	0.000194	0.999806	
DDI_XP_635996.1	OTHER	0.001318	0.998682	
DDI_XP_636123.1	OTHER	0.000495	0.999505	
DDI_XP_636255.1	OTHER	0.000841	0.999159	
DDI_XP_636407.1	OTHER	0.000500	0.999500	
DDI_XP_636746.1	OTHER	0.001883	0.998117	
DDI_XP_637064.1	OTHER	0.000508	0.999492	
DDI_XP_637218.1	OTHER	0.000775	0.999225	
DDI_XP_637335.1	OTHER	0.000225	0.999775	
DDI_XP_637794.1	OTHER	0.000305	0.999695	
DDI_XP_638336.1	OTHER	0.000958	0.999042	
DDI_XP_638563.1	OTHER	0.000252	0.999748	
DDI_XP_638590.1	OTHER	0.000269	0.999731	
DDI_XP_640316.1	OTHER	0.000235	0.999765	
DDI_XP_640914.1	OTHER	0.001422	0.998578	
DDI_XP_641952.1	OTHER	0.000219	0.999781	
DDI_XP_642107.2	OTHER	0.001521	0.998479	
DDI_XP_642249.2	OTHER	0.000728	0.999272	
DDI_XP_642480.1	OTHER	0.232976	0.767024	
DDI_XP_643093.1	OTHER	0.000270	0.999730	
DDI_XP_643248.1	OTHER	0.000621	0.999379	
DDI_XP_643804.1	OTHER	0.001000	0.999000	
DDI_XP_644031.1	OTHER	0.000319	0.999681	
DDI_XP_644310.1	OTHER	0.001713	0.998287	
DDI_XP_644550.1	SP(Sec/SPI)	0.999618	0.000382	CS pos: 20-21. INC-QE. Pr: 0.7226
DDI_XP_644701.1	SP(Sec/SPI)	0.999618	0.000382	CS pos: 20-21. INC-QE. Pr: 0.7226
DDI_XP_644907.1	OTHER	0.002085	0.997915	
DDI_XP_645374.1	OTHER	0.000506	0.999494	
DDI_XP_645911.1	OTHER	0.005408	0.994592	
DDI_XP_646066.1	SP(Sec/SPI)	0.992615	0.007385	CS pos: 22-23. SFQ-EN. Pr: 0.4855
DDI_XP_646785.1	SP(Sec/SPI)	0.999748	0.000252	CS pos: 19-20. ILA-NV. Pr: 0.4089
DDI_XP_647088.1	OTHER	0.000840	0.999160	
ECU_NP_585794.1	SP(Sec/SPI)	0.924900	0.075100	CS pos: 14-15. GRA-EE. Pr: 0.8370
ECU_NP_586011.1	OTHER	0.000958	0.999042	
ECU_NP_586135.1	OTHER	0.000248	0.999752	
ECU_NP_586234.1	OTHER	0.000358	0.999642	
ECU_NP_597259.1	OTHER	0.004225	0.995775	
ECU_NP_597460.1	OTHER	0.000345	0.999655	
ECU_XP_955632.1	OTHER	0.000448	0.999552	
EFE_QPG94581.1	SP(Sec/SPI)	0.947105	0.052895	CS pos: 24-25. CLS-AV. Pr: 0.6391
EFE_QPG94900.1	SP(Sec/SPI)	0.978757	0.021243	CS pos: 18-19. ANA-AS. Pr: 0.4751
EFE_QPG96728.1	OTHER	0.000389	0.999611	
EFE_QPG96974.1	OTHER	0.006050	0.993950	
EFE_QPG97524.1	OTHER	0.001403	0.998597	
EFE_QPG97614.1	OTHER	0.002582	0.997418	
EFE_QPH00195.1	OTHER	0.000681	0.999319	
EFE_QPH02355.1	OTHER	0.000766	0.999234	
EFE_QPH05449.1	OTHER	0.000711	0.999289	
EFE_QPH06048.1	SP(Sec/SPI)	0.884488	0.115512	CS pos: 23-24. SLA-DS. Pr: 0.7796
EFE_QPH06515.1	OTHER	0.002539	0.997461	
EFE_QPH09729.1	SP(Sec/SPI)	0.999410	0.000590	CS pos: 16-17. VAA-AP. Pr: 0.1997
EFE_QPH10514.1	OTHER	0.001255	0.998745	
EFE_QPH11139.1	SP(Sec/SPI)	0.936445	0.063555	CS pos: 16-17. ASA-FQ. Pr: 0.2541
EFE_QPH11681.1	OTHER	0.018051	0.981949	
EFE_QPH16596.1	OTHER	0.002392	0.997608	
EMU_KAF7726291.1	OTHER	0.000183	0.999817	
EMU_KAF7740976.1	SP(Sec/SPI)	0.652034	0.347966	CS pos: 22-23. LLA-HS. Pr: 0.2910
EMU_KAF7741127.1	SP(Sec/SPI)	0.979901	0.020099	CS pos: 18-19. QQC-QN. Pr: 0.2738
EMU_KAF7741567.1	OTHER	0.001377	0.998623	
EMU_KAF7741681.1	OTHER	0.000363	0.999637	
EMU_KAF7742572.1	OTHER	0.014357	0.985643	
EMU_KAF7743727.1	OTHER	0.000361	0.999639	
EMU_KAF7743872.1	OTHER	0.123788	0.876212	
